,8.02,12.07,Unnamed: 2,Advertise your product or brand here
445,1406.24,1407.74,Trick,I'm not sure how that happened.
446,1408.12,1411.54,Kakistos,I don't care if there are a hundred slayers!
447,1408.12,1411.54,Kakistos,I'll kill them all!
448,1412.5,1414.79,Kakistos,She's going to pay for what she did to me.
449,1416.88,1418.59,Kakistos,"Yes, she is."
450,1419.38,1423.84,Trick,"I'm running a computer check on every hotel,"
451,1419.38,1423.84,Trick,rooming house and youth hostel in town.
452,1427.02,1428.64,Trick,"Meanwhile, as soon as the sun goes down,"
453,1430.01,1432.1,Trick,we're out in force.
454,1433.14,1435.35,Pizza Man,"Food's here, boys."
455,1438.15,1439.61,Pizza Man,You guys order...
456,1442.53,1445.4,Joyce,"So you're a slayer, too."
457,1442.53,1445.4,Joyce,Isn't that interesting.
458,1446.28,1447.3,Joyce,Do you like it?
459,1447.3,1448.32,Faith,"God, I love it."
460,1448.78,1449.12,Buffy,Mom?
461,1449.12,1450.91,Joyce,"Just a second, honey."
462,1451.28,1453.43,Faith,"You know, Buffy never talks that way."
463,1453.43,1454.54,Joyce,Why do you love it?
464,1455.04,1457.28,Faith,"Well, when I'm fighting it's like the whole"
465,1457.28,1459.46,I only know one thing,"world goes away and I only know one thing,"
466,1460.04,1463.96,I only know one thing,that I'm gonna win and they're gonna lose.
467,1460.04,1463.96,I only know one thing,I like that feeling.
468,1464.42,1467.63,Buffy,Sure  it beats that dead feeling you get
469,1464.42,1467.63,Buffy,when they win and you lose.
470,1468.18,1470.95,Faith,I don't let that kind of negative thinking in.
471,1470.95,1472.81,Joyce,Right. That could get you hurt.
472,1473.81,1476.23,Joyce,Buffy can be awfully negative sometimes.
473,1476.31,1478.5,Joyce,"Honey, you gotta fight that."
474,1478.5,1479.6,Buffy,Workin' on it.
475,1480.06,1482.95,Joyce,"Faith, can I get you another soft drink?"
476,1482.95,1483.53,Faith,You bet.
477,1485.69,1487.57,Faith,"She's really cool, huh?"
478,1487.57,1489.41,Buffy,Best mom ever.
479,1490.7,1492.37,Buffy,Excuse me.
480,1500.08,1501.79,Joyce,"I like this girl, Buffy."
481,1501.96,1506.34,Buffy,She's very personable. She gets along
482,1501.96,1506.34,Buffy,"with my friends, my watcher, my mom..."
483,1508.22,1510.44,Buffy,"Look, now she's getting along with my fries."
484,1510.44,1511.09,Joyce,"Now, Buffy..."
485,1511.34,1513.32,Buffy,Plus at school she was making eyes
486,1513.32,1515.35,Joyce,at my notboyfriend. This is creepy.
487,1516.35,1518.69,Joyce,Does anybody else think Faith is creepy?
488,1519.48,1522.11,Buffy,No. But I'm the one getting
489,1519.48,1522.11,Buffy,Single White Femaled.
490,1522.61,1525.32,Joyce,It's probably good you were an only child.
491,1525.73,1529.61,Buffy,"Mom, I'm just getting my life back."
492,1525.73,1529.61,Buffy,I'm not looking to go halfsies on it.
493,1530.11,1533.45,Joyce,"Well, some things I'd be happy"
