,1,abandoned,negative,en,Unnamed: 4,Unnamed: 5,Unnamed: 6
596,598,repulsive,negative,en,,,
597,599,resented,negative,en,,,
598,600,resentful,negative,en,,,
599,601,responsible,negative,en,,,
600,602,retarded,negative,en,,,
601,603,revenge,negative,en,,,
602,604,revengeful,negative,en,,,
603,605,revolting,negative,en,,,
604,606,ridiculed,negative,en,,,
605,607,ridiculous,negative,en,,,
606,608,robbed,negative,en,,,
607,609,rocky,negative,en,,,
608,610,rotten,negative,en,,,
609,611,rotten,negative,en,,,
610,612,rude,negative,en,,,
611,613,ruthless,negative,en,,,
612,614,sad,negative,en,,,
613,615,sadistic,negative,en,,,
614,616,sarcastic,negative,en,,,
615,617,savage,negative,en,,,
616,618,scare,negative,en,,,
617,619,scared,negative,en,,,
618,620,scarred,negative,en,,,
619,621,scary,negative,en,,,
620,622,scream,negative,en,,,
621,623,screwed over,negative,en,,,
622,624,screwed up,negative,en,,,
623,625,screwed,negative,en,,,
624,626,self-centered,negative,en,,,
625,627,self-conscious,negative,en,,,
626,628,self-destructive,negative,en,,,
627,629,self-hatred,negative,en,,,
628,630,selfish,negative,en,,,
629,631,sensitive,negative,en,,,
630,632,severe,negative,en,,,
631,633,shocking,negative,en,,,
632,634,shoddy,negative,en,,,
633,635,shouted at,negative,en,,,
634,636,shy,negative,en,,,
635,637,sick,negative,en,,,
636,638,sickening,negative,en,,,
637,639,singled-out,negative,en,,,
638,640,sinister,negative,en,,,
639,641,slimy,negative,en,,,
640,642,slow,negative,en,,,
641,643,small,negative,en,,,
642,644,smelly,negative,en,,,
643,645,smothered,negative,en,,,
644,646,snapped at,negative,en,,,
645,647,sobbing,negative,en,,,
646,648,sorry,negative,en,,,
647,649,spiteful,negative,en,,,
648,650,spiteful,negative,en,,,
649,651,stereotyped,negative,en,,,
650,652,sticky,negative,en,,,
651,653,stinky,negative,en,,,
652,654,stormy,negative,en,,,
653,655,strange,negative,en,,,
654,656,stressed,negative,en,,,
655,657,stressful,negative,en,,,
656,658,stretched,negative,en,,,
657,659,stuck,negative,en,,,
658,660,stuck,negative,en,,,
659,661,stupid,negative,en,,,
660,662,stupid,negative,en,,,
661,663,submissive,negative,en,,,
662,664,substandard,negative,en,,,
663,665,suffering,negative,en,,,
664,666,suffocated,negative,en,,,
665,667,suicidal,negative,en,,,
666,668,superficial,negative,en,,,
667,669,suppressed,negative,en,,,
668,670,suspect,negative,en,,,
669,671,suspicious,negative,en,,,
670,672,tense,negative,en,,,
671,673,terrible,negative,en,,,
672,674,terrifying,negative,en,,,
673,675,threatening,negative,en,,,
674,676,ugly,negative,en,,,
675,677,undermine,negative,en,,,
676,678,unfair,negative,en,,,
677,679,unfavorable,negative,en,,,
678,680,unhappy,negative,en,,,
679,681,unhealthy,negative,en,,,
680,682,unjust,negative,en,,,
681,683,unlucky,negative,en,,,
682,684,unpleasant,negative,en,,,
683,685,unsatisfactory,negative,en,,,
684,686,unsightly,negative,en,,,
685,687,untoward,negative,en,,,
686,688,unwanted,negative,en,,,
687,689,unwelcome,negative,en,,,
688,690,unwholesome,negative,en,,,
689,691,unwieldy,negative,en,,,
690,692,unwise,negative,en,,,
691,693,upset,negative,en,,,
692,694,vice,negative,en,,,
693,695,vicious,negative,en,,,
694,696,vile,negative,en,,,
695,697,villainous,negative,en,,,
696,698,vindictive,negative,en,,,
697,699,wary,negative,en,,,
698,700,weary,negative,en,,,
699,701,wicked,negative,en,,,
700,702,woeful,negative,en,,,
701,703,worthless,negative,en,,,
702,704,wound,negative,en,,,
703,705,yell,negative,en,,,
704,706,yucky,negative,en,,,
705,707,zero,negative,en,,,
706,1024,absolutely,positive,en,,,
707,1025,Abundant,positive,en,,,
708,1026,accepted,positive,en,,,
709,1027,acclaimed,positive,en,,,
710,1028,accomplish,positive,en,,,
711,1029,Accomplished,positive,en,,,
712,1030,accomplishment,positive,en,,,
713,1031,achievement,positive,en,,,
714,1032,Achieving,positive,en,,,
715,1033,action,positive,en,,,
716,1034,active,positive,en,,,
717,1035,Admirable,positive,en,,,
718,1036,admire,positive,en,,,
719,1037,Admired,positive,en,,,
720,1038,adorable,positive,en,,,
721,1039,adventure,positive,en,,,
722,1040,Adventurous,positive,en,,,
723,1041,affirmative,positive,en,,,
724,1042,affluent,positive,en,,,
725,1043,agree,positive,en,,,
726,1044,agreeable,positive,en,,,
727,1045,Alert,positive,en,,,
728,1046,Aligned,positive,en,,,
729,1047,Alive,positive,en,,,
730,1048,amazing,positive,en,,,
731,1049,angelic,positive,en,,,
732,1050,appealing,positive,en,,,
733,1051,Appreciate,positive,en,,,
734,1052,approve,positive,en,,,
735,1053,aptitude,positive,en,,,
736,1054,Artistic,positive,en,,,
737,1055,Astounding,positive,en,,,
738,1056,Astute,positive,en,,,
739,1057,Attentive,positive,en,,,
740,1058,attractive,positive,en,,,
741,1059,Auspicious,positive,en,,,
742,1060,Authentic,positive,en,,,
743,1061,Awake,positive,en,,,
744,1062,Aware,positive,en,,,
745,1063,awesome,positive,en,,,
746,1064,beaming,positive,en,,,
747,1065,beautiful,positive,en,,,
748,1066,believe,positive,en,,,
749,1067,beneficial,positive,en,,,
750,1068,Best,positive,en,,,
751,1069,Blessed,positive,en,,,
752,1070,bliss,positive,en,,,
753,1071,Bold,positive,en,,,
754,1072,bountiful,positive,en,,,
755,1073,bounty,positive,en,,,
756,1074,brave,positive,en,,,
757,1075,bravo,positive,en,,,
758,1076,Bright,positive,en,,,
759,1077,brilliant,positive,en,,,
760,1078,Brisk,positive,en,,,
761,1079,bubbly,positive,en,,,
762,1080,Buoyant,positive,en,,,
763,1081,calm,positive,en,,,
764,1082,Capable,positive,en,,,
765,1083,celebrated,positive,en,,,
766,1084,Centered,positive,en,,,
767,1085,certain,positive,en,,,
768,1086,champ,positive,en,,,
769,1087,champion,positive,en,,,
770,1088,charming,positive,en,,,
771,1089,Cheerful,positive,en,,,
772,1090,cheery,positive,en,,,
773,1091,choice,positive,en,,,
774,1092,classic,positive,en,,,
775,1093,classical,positive,en,,,
776,1094,clean,positive,en,,,
777,1095,Clear,positive,en,,,
778,1096,Clever,positive,en,,,
779,1097,commend,positive,en,,,
780,1098,Competent,positive,en,,,
781,1099,Complete,positive,en,,,
782,1100,composed,positive,en,,,
783,1101,Confident,positive,en,,,
784,1102,congratulation,positive,en,,,
785,1103,Connected,positive,en,,,
786,1104,Conscious,positive,en,,,
787,1105,Considerate,positive,en,,,
788,1106,constant,positive,en,,,
789,1107,Convenient,positive,en,,,
790,1108,cool,positive,en,,,
791,1109,courageous,positive,en,,,
792,1110,creative,positive,en,,,
793,1111,cute,positive,en,,,
794,1112,Daring,positive,en,,,
795,1113,dazzling,positive,en,,,
796,1114,Delicious,positive,en,,,
797,1115,delight,positive,en,,,
798,1116,delightful,positive,en,,,
799,1117,Desirable,positive,en,,,
800,1118,Determined,positive,en,,,
801,1119,Diligent,positive,en,,,
