,Word,Parts
1396,draftsman,drafts-man
1397,dramamine,
1398,drawee,draw=ee
1399,drawer,
1400,drayman,dray-man
1401,dressage,
1402,dreyfuss,
1403,drive,
1404,dual,
1405,duan,
1406,dubiosity,dubious=ity
1407,dudeen,
1408,duer,
1409,Dulles,
1410,duly,due=ly
1411,dumdum,
1412,dummy,
1413,dundee,
1414,dunkirk,
1415,duodenary,
1416,duped,dupe=ed
1417,duper,dupe=er
1418,dupion,
1419,dupleix,
1420,duplex,
1421,duracell,
1422,duramen,
1423,Duran,
1424,durgan,
1425,dutchman,dutch-man
1426,dutiful,duty=ful
1427,dying,die=ing
1428,ealdorman,alder-man
1429,earreach,ear-reach
1430,easily,easy=ly
1431,eastman,east-man
1432,echocardiograph,echo-cardiograph
1433,echocardiography,echo-cardiography
1434,echoencephalogram,echo-encephalogram
1435,echovirus,echo-virus
1436,eckhart,
1437,ecologically,ecological=ly
1438,ecologies,ecology=es
1439,economically,economical=ly
1440,economies,economy=es
1441,ecotone,eco-tone
